N,P,K,temperature,humidity,ph,rainfall,Label,image_path
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7efdde34-c75b-40bc-92ef-48de08ec0709___FREC_Scab 3027.JPG
67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7edff180-8238-44d7-bba1-07749e649dae___FREC_Scab 3071.JPG
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7ed79254-3e04-4e08-9c80-088cd9d7d8c9___FREC_Scab 3310.JPG
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7ead14ac-9bdd-42a9-bde9-b70d8b6694b7___FREC_Scab 3356.JPG
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7e64fdef-9cb7-40ed-9f40-f3c97d6e0e8a___FREC_Scab 3536.JPG
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7e4bbd7a-b494-426f-9f08-755ce4a399e7___FREC_Scab 3331.JPG
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7e2bacbd-f92b-417e-879f-002f3862718c___FREC_Scab 3374.JPG
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7dbdcba3-395b-413e-bc22-cd0d0e11a1c9___FREC_Scab 3363.JPG
76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7ceb532d-1a58-4a25-bbff-8dd04a117744___FREC_Scab 3422.JPG
70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7c83792f-d375-42fb-a5a0-1bc2cb3a8eff___FREC_Scab 2914.JPG
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7c66bda4-301c-4987-85b8-fd8230c5a2f2___FREC_Scab 3324.JPG
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7c0710e7-2ad4-44c4-a6f6-ffeb5573f8e7___FREC_Scab 3208.JPG
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7bf25c0a-6594-4777-9a67-49a6487bb203___FREC_Scab 2993.JPG
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7be1e0a3-01d0-40c3-9628-f69952550267___FREC_Scab 3263.JPG
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7bc2b2d5-b2b6-4ac2-9bbe-322ce8d7d9bb___FREC_Scab 2944.JPG
91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7b7c32e3-68f8-4280-acda-4c6e67f4725f___FREC_Scab 3340.JPG
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7b3e4313-9abb-4105-8be9-2020f1101e58___FREC_Scab 3441.JPG
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7b17fb27-2af4-4c90-b499-0c0658ba7262___FREC_Scab 2943.JPG
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\6fb62aa7-c3d4-457a-b95d-a8b3102cccd8___FREC_Scab 3005.JPG
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\6fb41b7b-d1f0-451c-988a-1083d038acdb___FREC_Scab 3094.JPG
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\6e8ed8d7-45e0-446a-aad1-d7ccf4a861fe___FREC_Scab 3068.JPG
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7f21c995-332c-4a60-9b18-b279917d7ffa___FREC_Scab 3277.JPG
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\7f7b25d4-f895-4f8e-80ad-db72a9b19a2e___FREC_Scab 3451.JPG
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\8a212787-77fb-40dc-a028-92d5ff2d6c7c___FREC_Scab 3043.JPG
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,Apple___Apple_scab,C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\8a8f8dd2-a938-4288-a8ec-56ef0aaa2d4f___FREC_Scab 2947.JPG
